date,price
1957,411041792
1959,67947725
1960,5242880
1965,2642412
1970,734003
1973,399360
1974,314573
1975,421888
1975.08,180224
1975.25,67584
1975.75,49920
1976,40704
1976.17,48960
1976.42,23040
1976.58,32000
1977.08,36800
1978.17,28000
1978.25,29440
1978.33,19200
1978.5,24000
1978.58,16000
1978.75,15200
1979,10528
1979.75,6704
1980,6480
1981,8800
1981.58,4479
1982,3520
1982.17,4464
1982.67,1980
1983,2396
1983.67,1980
1984,1379
1984.58,1331
1985,880
1985.33,720
1985.42,550
1985.5,420
1985.58,350
1985.67,300
1985.83,300
1985.92,300
1986,300
1986.08,300
1986.17,300
1986.25,300
1986.33,190
1986.42,190
1986.5,190
1986.58,190
1986.67,190
1986.75,190
1986.92,190
1987,176
1987.08,176
1987.17,157
1987.25,154
1987.33,154
1987.42,154
1987.5,154
1987.58,154
1987.67,163
1987.75,133
1987.83,163
1987.92,163
1988,163
1988.08,182
1988.17,199
1988.33,199
1988.42,199
1988.5,505
1988.58,505
1988.67,505
1988.75,505
1988.83,505
1988.92,505
1989,505
1989.08,505
1989.17,505
1989.25,505
1989.42,344
1989.5,197
1989.58,188
1989.67,188
1989.75,128
1989.83,117
1989.92,113
1990,106
1990.17,98.3
1990.33,98.3
1990.42,89.5
1990.5,82.8
1990.58,81.1
1990.67,71.5
1990.75,59
1990.83,51
1990.92,45.5
1991,44.5
1991.08,44.5
1991.17,45
1991.25,45
1991.33,45
1991.42,43.8
1991.5,43.8
1991.58,41.3
1991.67,46.3
1991.75,45
1991.83,39.8
1991.92,39.8
1992,36.3
1992.08,36.3
1992.17,36.3
1992.25,34.8
1992.33,30
1992.42,32.5
1992.5,33.5
1992.58,31
1992.67,27.5
1992.75,26.3
1992.83,26.3
1992.92,26.3
1993,33.1
1993.08,27.5
1993.17,27.5
1993.25,27.5
1993.33,27.5
1993.42,30
1993.5,30
1993.58,30
1993.67,30
1993.75,36
1993.83,39.8
1993.92,35.8
1994,35.8
1994.08,35.8
1994.17,36
1994.25,37.3
1994.33,37.3
1994.42,37.3
1994.5,38.5
1994.58,37
1994.67,34
1994.75,33.5
1994.83,32.3
1994.92,32.3
1995,32.3
1995.08,32
1995.17,32
1995.25,31.2
1995.33,31.2
1995.42,31.1
1995.5,31.2
1995.58,30.6
1995.67,33.1
1995.75,33.1
1995.83,30.9
1995.92,30.9
1996,29.9
1996.08,28.8
1996.17,26.1
1996.25,24.7
1996.33,17.2
1996.42,14.9
1996.5,11.3
1996.58,9.06
1996.67,8.44
1996.75,8
1996.83,5.25
1996.92,5.25
1997,4.63
1997.08,3.63
1997.17,3
1997.25,3
1997.33,3
1997.42,3.69
1997.5,4
1997.58,4.13
1997.67,3.63
1997.75,3.41
1997.83,3.25
1997.92,2.16
1998,2.16
1998.08,0.91
1998.17,0.97
1998.25,1.22
1998.33,1.19
1998.42,0.97
1998.58,1.03
1998.67,0.97
1998.75,1.16
1998.83,0.84
1998.92,0.84
1999.08,1.44
1999.13,0.84
1999.17,1.25
1999.25,1.25
1999.33,0.86
1999.5,0.78
1999.67,0.87
1999.75,1.04
1999.83,1.34
1999.92,2.35
2000,1.56
2000.08,1.48
2000.17,1.08
2000.25,0.84
2000.33,0.7
2000.42,0.9
2000.5,0.77
2000.58,0.84
2000.67,1.07
2000.75,1.12
2000.83,1.12
2000.92,0.9
2001,0.75
2001.08,0.464
2001.17,0.464
2001.25,0.383
2001.33,0.387
2001.42,0.305
2001.5,0.352
2001.5,0.27
2001.58,0.191
2001.67,0.191
2001.75,0.169
2001.77,0.148
2002.08,0.134
2002.08,0.207
2002.25,0.193
2002.33,0.193
2002.42,0.33
2002.58,0.193
2002.75,0.193
2003.17,0.176
2003.25,0.076
2003.33,0.126
2003.42,0.115
2003.5,0.133
2003.58,0.129
2003.67,0.143
2003.75,0.148
2003.83,0.16
2003.99,0.166
2004,0.174
2004.08,0.148
2004.17,0.146
2004.33,0.156
2004.42,0.203
2004.5,0.176
2005.25,0.185
2005.42,0.149
2005.83,0.116
2005.92,0.185
2006.17,0.112
2006.33,0.073
2006.5,0.082
2006.67,0.073
2006.75,0.088
2006.83,0.098
2006.99,0.092
2007,0.082
2007.08,0.078
2007.17,0.066
2007.33,0.0464
2007.5,0.0386
2007.67,0.0351
2007.75,0.0322
2007.83,0.0244
2007.92,0.0244
2008,0.0232
2008.08,0.022
2008.33,0.022
2008.5,0.0207
2008.58,0.0176
2008.67,0.0146
2008.83,0.011
2008.92,0.0098
2009,0.0098
2009.08,0.0107
2009.25,0.0105
2009.42,0.0115
2009.5,0.011
2009.58,0.0127
2009.75,0.0183
2009.92,0.0205
2010,0.019
2010.08,0.0202
2010.17,0.0195
2010.33,0.0242
2010.5,0.021
2010.58,0.022
2010.75,0.0171
2010.83,0.0146
2010.92,0.0122
2011,0.01
2011.08,0.0103
2011.33,0.01
2011.42,0.0085
2011.67,0.0054
2011.75,0.0051
2012,0.0049
2012.08,0.0049
2012.25,0.005
2012.33,0.0049
2012.58,0.0048
2012.67,0.004
2012.83,0.0037
2013,0.0043
2013.08,0.0054
2013.33,0.0067
2013.42,0.0061
2013.58,0.0073
2013.67,0.0065
2013.75,0.0082
2013.83,0.0085
2013.92,0.0079
2014.08,0.0095
2014.17,0.0079
2014.25,0.0073
2014.42,0.0079
2014.58,0.0085
2014.67,0.0085
2014.83,0.0085
2015,0.0078
2015.08,0.0073
2015.25,0.0061
2015.33,0.0056
2015.5,0.0049
2015.58,0.0045
2015.67,0.0043
2015.75,0.0042
2015.83,0.0038
2015.92,0.0037
